Operation,Index,Time(ns),Operations
Delete,1,80200,28
Delete,2,138200,32
Delete,3,27100,30
Delete,4,13600,26
Delete,5,12000,24
Delete,6,15200,32
Delete,7,13700,28
Delete,8,16500,30
Delete,9,15600,28
Delete,10,14700,30
Delete,11,13600,26
Delete,12,13300,28
Delete,13,14600,28
Delete,14,14100,28
Delete,15,16500,32
Delete,16,16700,30
Delete,17,14400,30
Delete,18,18300,28
Delete,19,18600,32
Delete,20,17400,32
Delete,21,18100,28
Delete,22,14500,28
Delete,23,12100,28
Delete,24,13000,24
Delete,25,11000,28
Delete,26,11700,28
Delete,27,14100,28
Delete,28,10800,26
Delete,29,15200,26
Delete,30,14000,30
Delete,31,18700,26
Delete,32,10600,22
Delete,33,14100,28
Delete,34,13000,24
Delete,35,21100,30
Delete,36,11900,24
Delete,37,45000,26
Delete,38,15300,32
Delete,39,10700,24
Delete,40,37200,28
Delete,41,13900,28
Delete,42,11400,26
Delete,43,9400,24
Delete,44,9800,26
Delete,45,11600,28
Delete,46,12900,28
Delete,47,9900,26
Delete,48,12400,34
Delete,49,11100,28
Delete,50,18500,28
Delete,51,9800,24
Delete,52,15200,30
Delete,53,15200,26
Delete,54,14200,28
Delete,55,15000,24
Delete,56,18200,28
Delete,57,12700,28
Delete,58,15100,28
Delete,59,12300,28
Delete,60,17600,28
Delete,61,11000,26
Delete,62,11100,26
Delete,63,16500,28
Delete,64,12300,26
Delete,65,16600,30
Delete,66,9500,24
Delete,67,8500,26
Delete,68,8000,24
Delete,69,7300,24
Delete,70,7600,26
Delete,71,10600,28
Delete,72,9500,30
Delete,73,8000,24
Delete,74,8700,26
Delete,75,10400,28
Delete,76,8100,26
Delete,77,9900,26
Delete,78,8900,29
Delete,79,8000,24
Delete,80,8000,24
Delete,81,10300,28
Delete,82,8900,26
Delete,83,8200,26
Delete,84,8500,24
Delete,85,8600,26
Delete,86,7800,28
Delete,87,8600,26
Delete,88,10100,28
Delete,89,10400,30
Delete,90,8400,26
Delete,91,9900,30
Delete,92,7800,24
Delete,93,8400,26
Delete,94,11100,30
Delete,95,8300,28
Delete,96,7900,26
Delete,97,9600,28
Delete,98,7800,24
Delete,99,8900,28
Delete,100,8500,26
Delete,101,8100,28
Delete,102,8700,28
Delete,103,6100,22
Delete,104,11300,32
Delete,105,10300,30
Delete,106,74800,30
Delete,107,4600,28
Delete,108,4100,28
Delete,109,4000,28
Delete,110,3800,28
Delete,111,5800,30
Delete,112,4500,28
Delete,113,3200,24
Delete,114,4000,28
Delete,115,4100,28
Delete,116,3600,22
Delete,117,2700,22
Delete,118,4000,26
Delete,119,4000,26
Delete,120,3600,26
Delete,121,3900,26
Delete,122,4400,28
Delete,123,4200,28
Delete,124,2700,22
Delete,125,3500,24
Delete,126,4100,26
Delete,127,4300,30
Delete,128,5200,26
Delete,129,3400,28
Delete,130,3800,28
Delete,131,3600,28
Delete,132,4900,28
Delete,133,4100,30
Delete,134,3600,28
Delete,135,3200,26
Delete,136,3300,30
Delete,137,3800,24
Delete,138,3700,24
Delete,139,4200,34
Delete,140,3400,30
Delete,141,4700,30
Delete,142,4500,26
Delete,143,2500,22
Delete,144,3700,30
Delete,145,3900,24
Delete,146,4300,32
Delete,147,3400,24
Delete,148,4300,26
Delete,149,3400,27
Delete,150,6000,24
Delete,151,2600,28
Delete,152,2400,32
Delete,153,2100,28
Delete,154,2400,26
Delete,155,2200,28
Delete,156,1900,24
Delete,157,1400,24
Delete,158,1700,30
Delete,159,1800,28
Delete,160,2300,24
Delete,161,2800,28
Delete,162,2100,30
Delete,163,1700,26
Delete,164,2400,26
Delete,165,2200,30
Delete,166,1500,26
Delete,167,1700,24
Delete,168,1700,22
Delete,169,1200,26
Delete,170,2400,30
Delete,171,1800,28
Delete,172,1700,26
Delete,173,1800,30
Delete,174,2200,30
Delete,175,2000,26
Delete,176,2700,28
Delete,177,1600,24
Delete,178,2000,28
Delete,179,2100,26
Delete,180,2100,24
Delete,181,2100,28
Delete,182,1700,26
Delete,183,2400,26
Delete,184,1600,26
Delete,185,2000,26
Delete,186,1900,24
Delete,187,2800,28
Delete,188,2400,32
Delete,189,1500,26
Delete,190,1800,28
Delete,191,2500,30
Delete,192,2600,32
Delete,193,2100,26
Delete,194,2200,26
Delete,195,1800,24
Delete,196,1900,30
Delete,197,1900,26
Delete,198,1700,26
Delete,199,2100,26
Delete,200,2700,32
Delete,201,2100,28
Delete,202,1600,26
Delete,203,2600,28
Delete,204,1600,34
Delete,205,1800,30
Delete,206,2000,26
Delete,207,2000,28
Delete,208,2700,26
Delete,209,1400,22
Delete,210,1500,26
Delete,211,1800,30
Delete,212,1300,24
Delete,213,1500,24
Delete,214,1400,24
Delete,215,2400,26
Delete,216,1800,28
Delete,217,1900,26
Delete,218,1800,24
Delete,219,1900,30
Delete,220,5100,26
Delete,221,1700,26
Delete,222,2100,30
Delete,223,2000,28
Delete,224,2300,26
Delete,225,1700,26
Delete,226,2100,26
Delete,227,3200,28
Delete,228,1400,26
Delete,229,2300,26
Delete,230,1900,30
Delete,231,2800,30
Delete,232,2600,30
Delete,233,1700,28
Delete,234,2300,30
Delete,235,1400,28
Delete,236,2300,26
Delete,237,1700,26
Delete,238,2400,26
Delete,239,1600,26
Delete,240,1700,26
Delete,241,1600,28
Delete,242,1700,26
Delete,243,2000,26
Delete,244,1300,26
Delete,245,1400,24
Delete,246,1600,26
Delete,247,2000,26
Delete,248,1500,24
Delete,249,1700,22
Delete,250,1300,26
Delete,251,1200,22
Delete,252,2000,26
Delete,253,1900,30
Delete,254,1900,24
Delete,255,1400,24
Delete,256,3400,28
Delete,257,1900,26
Delete,258,1600,28
Delete,259,2900,30
Delete,260,2100,28
Delete,261,1700,30
Delete,262,2200,26
Delete,263,1500,28
Delete,264,2300,28
Delete,265,2600,30
Delete,266,1700,28
Delete,267,1700,24
Delete,268,2000,30
Delete,269,1400,28
Delete,270,1800,28
Delete,271,1800,30
Delete,272,41000,28
Delete,273,4700,26
Delete,274,2900,28
Delete,275,2400,28
Delete,276,2100,34
Delete,277,2300,26
Delete,278,2100,28
Delete,279,2700,26
Delete,280,2600,28
Delete,281,2500,32
Delete,282,2300,28
Delete,283,1700,28
Delete,284,2100,26
Delete,285,1700,30
Delete,286,5100,28
Delete,287,1600,24
Delete,288,1700,30
Delete,289,1500,30
Delete,290,1900,28
Delete,291,1900,28
Delete,292,2500,24
Delete,293,1400,26
Delete,294,1700,26
Delete,295,1900,26
Delete,296,1600,26
Delete,297,1400,26
Delete,298,1300,26
Delete,299,1500,26
Delete,300,1600,28
Delete,301,2000,30
Delete,302,2100,26
Delete,303,1700,28
Delete,304,2200,22
Delete,305,2300,32
Delete,306,1300,26
Delete,307,1900,26
Delete,308,2400,30
Delete,309,1300,26
Delete,310,2000,28
Delete,311,2300,26
Delete,312,2200,24
Delete,313,2200,26
Delete,314,2100,26
Delete,315,2000,26
Delete,316,2300,28
Delete,317,2400,30
Delete,318,1800,26
Delete,319,1800,30
Delete,320,1600,24
Delete,321,2100,30
Delete,322,1400,28
Delete,323,2100,24
Delete,324,2200,28
Delete,325,2100,26
Delete,326,1600,26
Delete,327,2100,24
Delete,328,1900,24
Delete,329,2000,28
Delete,330,1700,28
Delete,331,1800,28
Delete,332,2200,26
Delete,333,1500,24
Delete,334,1200,26
Delete,335,1600,30
Delete,336,1500,26
Delete,337,1700,26
Delete,338,2100,28
Delete,339,1700,28
Delete,340,2100,26
Delete,341,2400,26
Delete,342,2000,28
Delete,343,1300,26
Delete,344,1800,26
Delete,345,1600,26
Delete,346,1400,22
Delete,347,1800,28
Delete,348,1600,26
Delete,349,1800,26
Delete,350,2900,28
Delete,351,1800,24
Delete,352,2000,30
Delete,353,2200,30
Delete,354,1400,24
Delete,355,1300,26
Delete,356,1500,28
Delete,357,2100,32
Delete,358,1500,24
Delete,359,1300,26
Delete,360,2000,28
Delete,361,1700,26
Delete,362,1500,26
Delete,363,2100,30
Delete,364,1800,30
Delete,365,1700,26
Delete,366,2300,26
Delete,367,1700,24
Delete,368,1400,26
Delete,369,2300,28
Delete,370,1800,24
Delete,371,1600,26
Delete,372,2600,30
Delete,373,1300,22
Delete,374,2100,22
Delete,375,1600,22
Delete,376,2000,32
Delete,377,1900,28
Delete,378,1300,24
Delete,379,1300,26
Delete,380,1500,26
Delete,381,1900,30
Delete,382,1600,28
Delete,383,1700,26
Delete,384,3500,30
Delete,385,1600,30
Delete,386,2700,24
Delete,387,2200,30
Delete,388,1600,28
Delete,389,1800,26
Delete,390,2700,30
Delete,391,1900,26
Delete,392,1600,28
Delete,393,1500,24
Delete,394,2500,28
Delete,395,1400,22
Delete,396,1400,24
Delete,397,2100,28
Delete,398,1800,26
Delete,399,1400,28
Delete,400,1900,24
Delete,401,1800,26
Delete,402,2100,28
Delete,403,1600,32
Delete,404,1400,24
Delete,405,2200,32
Delete,406,1600,26
Delete,407,1800,28
Delete,408,1300,24
Delete,409,1900,26
Delete,410,1700,28
Delete,411,1700,28
Delete,412,1700,30
Delete,413,2000,30
Delete,414,2100,24
