Operation,Index,Time(ns),Operations
Insert,1,5821900,1
Insert,2,20300,3
Insert,3,2600,5
Insert,4,1400,5
Insert,5,1200,5
Insert,6,1800,7
Insert,7,1500,5
Insert,8,1300,7
Insert,9,1500,7
Insert,10,1300,7
Insert,11,1400,7
Insert,12,1900,9
Insert,13,2300,11
Insert,14,1600,9
Insert,15,1700,9
Insert,16,1900,11
Insert,17,1900,11
Insert,18,1900,11
Insert,19,1900,11
Insert,20,2400,13
Insert,21,2300,13
Insert,22,1700,9
Insert,23,2000,11
Insert,24,1800,11
Insert,25,2100,11
Insert,26,1600,9
Insert,27,4500,11
Insert,28,2300,13
Insert,29,2100,13
Insert,30,1900,11
Insert,31,2400,13
Insert,32,2900,9
Insert,33,2600,15
Insert,34,2500,15
Insert,35,3100,17
Insert,36,2100,13
Insert,37,2300,13
Insert,38,2700,15
Insert,39,1900,11
Insert,40,2100,13
Insert,41,1900,11
Insert,42,1800,11
Insert,43,1900,11
Insert,44,2300,13
Insert,45,2200,13
Insert,46,18700,15
Insert,47,4900,11
Insert,48,3100,13
Insert,49,2400,13
Insert,50,1900,11
Insert,51,2700,13
Insert,52,2300,13
Insert,53,2000,11
Insert,54,14100,15
Insert,55,2500,11
Insert,56,2800,15
Insert,57,4600,15
Insert,58,4700,15
Insert,59,2700,15
Insert,60,3000,15
Insert,61,2200,13
Insert,62,2200,13
Insert,63,2100,13
Insert,64,3000,11
Insert,65,2300,13
Insert,66,1900,11
Insert,67,2100,13
Insert,68,2500,15
Insert,69,2300,11
Insert,70,2500,15
Insert,71,2600,15
Insert,72,2700,17
Insert,73,2700,17
Insert,74,11400,13
Insert,75,5700,15
Insert,76,2500,13
Insert,77,2900,13
Insert,78,3900,19
Insert,79,2400,13
Insert,80,1900,11
Insert,81,19300,17
Insert,82,2700,13
Insert,83,2300,13
Insert,84,2400,15
Insert,85,2300,13
Insert,86,3200,17
Insert,87,2600,15
Insert,88,2500,15
Insert,89,2600,15
Insert,90,2700,17
Insert,91,2700,17
Insert,92,11100,15
Insert,93,2400,13
Insert,94,2100,13
Insert,95,1700,11
Insert,96,3600,11
Insert,97,4300,19
Insert,98,2600,15
Insert,99,3200,17
Insert,100,2500,15
Insert,101,2200,13
Insert,102,2500,15
Insert,103,2100,13
Insert,104,2900,17
Insert,105,2400,15
Insert,106,2300,15
Insert,107,2800,15
Insert,108,2800,17
Insert,109,2000,13
Insert,110,2400,15
Insert,111,4000,17
Insert,112,3200,17
Insert,113,4900,19
Insert,114,3200,19
Insert,115,2500,15
Insert,116,2600,17
Insert,117,2400,15
Insert,118,2900,19
Insert,119,2500,15
