Operation,Index,Time(ns),Operations
Search,1,17900,23
Search,2,4900,27
Search,3,3200,21
Search,4,3100,23
Search,5,3500,25
Search,6,3900,29
Search,7,3800,25
Search,8,2900,25
Search,9,2500,23
Search,10,6400,25
Search,11,2900,25
Search,12,3100,23
Search,13,2100,21
Search,14,2800,23
Search,15,2500,21
Search,16,3500,31
Search,17,2800,23
Search,18,3400,25
Search,19,3400,25
Search,20,10100,31
Search,21,2500,21
Search,22,1700,17
Search,23,2600,27
Search,24,3100,29
Search,25,3600,29
Search,26,3100,31
Search,27,1800,17
Search,28,1900,19
Search,29,3200,25
Search,30,2000,19
Search,31,4700,29
Search,32,2900,25
Search,33,2800,25
Search,34,2200,23
Search,35,2400,29
Search,36,2600,25
Search,37,2600,27
Search,38,2500,23
Search,39,3000,27
Search,40,15400,23
Search,41,3000,25
Search,42,2300,23
Search,43,3500,29
Search,44,3800,29
Search,45,2200,25
Search,46,3700,33
Search,47,2600,27
Search,48,3100,27
Search,49,2500,23
Search,50,3900,21
Search,51,2200,25
Search,52,1900,21
Search,53,2100,25
Search,54,2100,23
Search,55,2900,29
Search,56,1200,13
Search,57,2400,27
Search,58,2200,19
Search,59,2300,23
Search,60,4200,25
Search,61,2900,29
Search,62,2300,25
Search,63,1600,17
Search,64,2100,21
Search,65,2500,23
Search,66,2400,23
Search,67,2500,31
Search,68,2000,21
Search,69,1800,19
Search,70,1300,13
Search,71,4300,25
Search,72,900,9
Search,73,2500,23
Search,74,2400,25
Search,75,2800,27
Search,76,2700,29
Search,77,2300,25
Search,78,2800,29
Search,79,2000,23
Search,80,2100,21
Search,81,2700,27
Search,82,3400,17
Search,83,2200,27
Search,84,2200,21
Search,85,2200,23
Search,86,3200,27
Search,87,2500,25
Search,88,2100,21
Search,89,1900,21
Search,90,2300,23
Search,91,2000,21
Search,92,4400,27
Search,93,2300,27
Search,94,2600,27
Search,95,2400,25
Search,96,3000,29
Search,97,2500,25
Search,98,3000,31
Search,99,2400,23
Search,100,2900,27
Search Summary,,3078,00,24,28
