Test Case	Array Size	Time (ms)	Iterations	Correctly Sorted	Is Sorted
1	409	9	2658	true	true
2	2655	10	21086	true	true
3	7299	27	63188	true	true
4	1936	0	14959	true	true
5	5244	0	44173	true	true
6	3529	0	28954	true	true
7	7662	0	66769	true	true
8	6512	13	55940	true	true
9	8141	10	71052	true	true
10	9481	0	84292	true	true
11	5081	0	42777	true	true
12	9816	8	87532	true	true
13	3314	4	26942	true	true
14	4383	4	36288	true	true
15	9130	7	81120	true	true
16	4537	3	37672	true	true
17	7340	11	63683	true	true
18	6052	9	51467	true	true
19	7519	10	65517	true	true
20	253	0	1555	true	true
21	9252	5	81955	true	true
22	8899	0	78499	true	true
23	9523	10	84575	true	true
24	800	0	5655	true	true
25	5836	10	49688	true	true
26	7749	5	67749	true	true
27	2958	0	23523	true	true
28	983	1	7067	true	true
29	4908	4	41311	true	true
30	433	0	2812	true	true
31	3910	0	32042	true	true
32	6767	5	58221	true	true
33	9347	10	82576	true	true
34	7619	0	66464	true	true
35	1169	0	8572	true	true
36	9205	10	81291	true	true
37	239	0	1478	true	true
38	4822	0	40094	true	true
39	9899	10	88154	true	true
40	6505	5	55618	true	true
41	5947	0	50626	true	true
42	4706	10	39291	true	true
43	6428	0	55015	true	true
44	9492	2	84181	true	true
45	452	0	2982	true	true
46	4403	10	36613	true	true
47	7987	5	69666	true	true
48	6850	7	59243	true	true
49	2913	0	23480	true	true
50	3475	0	28349	true	true
51	8129	11	71350	true	true
52	4207	0	34757	true	true
53	1000	0	7137	true	true
54	7234	0	62787	true	true
55	3532	0	28688	true	true
56	1866	1	14125	true	true
57	4379	3	36271	true	true
58	3464	3	28247	true	true
59	7566	5	65660	true	true
60	9296	5	82330	true	true
61	8716	7	76825	true	true
62	5949	2	50717	true	true
63	4274	1	35214	true	true
64	1700	0	12888	true	true
65	6905	1	59317	true	true
66	6886	0	59168	true	true
67	7001	0	60678	true	true
68	9304	10	81705	true	true
69	4262	0	35223	true	true
70	9926	5	88889	true	true
71	9314	5	82562	true	true
72	7210	11	62544	true	true
73	9632	9	86104	true	true
74	7256	6	63074	true	true
75	1318	0	9791	true	true
76	7953	9	69653	true	true
77	2594	0	20458	true	true
78	5340	0	45035	true	true
79	5793	0	49162	true	true
80	3840	0	31534	true	true
81	7113	0	61877	true	true
82	2572	0	20253	true	true
83	3598	0	29276	true	true
84	8952	0	79293	true	true
85	8271	12	72613	true	true
86	7603	0	66254	true	true
87	8005	0	70227	true	true
88	7353	10	63835	true	true
89	6193	0	53046	true	true
90	8197	0	72036	true	true
91	2596	10	20480	true	true
92	8504	0	74949	true	true
93	3406	10	27659	true	true
94	992	0	7137	true	true
95	2819	0	22615	true	true
96	1833	0	13926	true	true
97	1138	0	8303	true	true
98	9388	10	83042	true	true
99	4227	0	34996	true	true
100	2840	0	22843	true	true
